Hours,Attendance,Previous Marks,Assignments,Final Marks
4.4,63.1,69.3,78.9,65.4
9.6,62.3,83.3,50.3,84.2
7.6,95.3,80.6,92.3,73.9
6.4,62.5,44.2,76.8,64.6
2.4,63.6,44.0,49.4,37.7
2.4,88.0,51.1,97.7,60.3
1.5,72.5,56.7,71.1,47.1
8.8,88.8,59.5,44.4,73.2
6.4,53.3,75.8,77.6,66.5
7.4,74.4,38.4,55.2,66.6
1.2,51.7,37.1,88.2,32.7
9.7,53.1,58.5,89.1,78.5
8.5,95.3,76.8,98.7,92.2
2.9,57.0,46.6,70.1,49.6
2.6,76.6,73.5,67.3,68.2
2.7,70.6,50.6,85.2,48.9
3.7,67.4,88.2,47.9,64.9
5.7,95.0,88.7,72.8,75.9
4.9,51.1,52.8,72.8,60.3
3.6,83.2,48.8,45.4,50.7
6.5,98.2,59.7,65.1,68.1
2.3,78.0,49.4,91.2,58.7
3.6,96.8,75.3,91.4,65.8
4.3,52.6,84.6,46.0,50.8
5.1,70.9,75.4,45.4,58.9
8.1,63.0,84.5,55.8,77.8
2.8,86.5,58.8,92.5,65.6
5.6,99.1,44.4,47.7,60.5
6.3,62.8,79.3,83.2,77.5
1.4,82.7,56.6,46.1,38.5
6.5,59.9,75.3,77.4,66.7
2.5,78.3,51.2,61.4,47.5
1.6,73.2,39.9,87.3,44.7
9.5,98.6,94.6,54.0,89.9
9.7,80.4,44.4,78.4,78.6
8.3,67.5,94.3,54.1,76.7
3.7,55.7,93.6,82.8,65.3
1.9,57.6,82.6,92.4,56.6
7.2,61.3,74.6,47.6,62.4
5.0,62.5,69.7,92.0,64.1
2.1,92.5,87.0,75.6,62.6
5.5,78.1,52.4,47.6,56.9
1.3,76.2,63.1,65.7,48.7
9.2,55.7,72.2,49.7,72.8
3.3,93.0,59.7,82.0,58.2
7.0,86.1,60.6,85.5,79.1
3.8,53.4,54.8,46.3,41.5
5.7,85.4,68.9,70.4,64.7
5.9,77.2,86.0,88.9,89.1
2.7,54.1,47.1,96.2,43.6
9.7,72.9,91.1,70.8,79.7
8.0,74.2,76.3,97.0,84.0
9.5,58.3,84.4,72.1,70.7
9.1,97.3,68.4,63.7,80.2
6.4,92.5,81.8,90.9,89.8
9.3,83.5,36.0,69.6,62.8
1.8,73.1,84.1,68.3,46.5
2.8,70.6,37.4,69.4,38.1
1.4,82.5,88.4,90.8,66.0
3.9,77.3,94.5,89.9,76.6
4.5,53.1,52.6,64.2,49.2
3.4,75.6,47.6,60.0,53.7
8.5,90.3,80.9,69.5,89.5
4.2,73.0,50.2,74.4,64.5
3.5,52.6,86.9,54.3,55.8
5.9,89.3,41.2,87.6,52.5
2.3,60.1,42.6,69.2,39.1
